NAME,X,Y,Lat,Lon
AMU_202,380912.433403208153322,6452852,,
AUG_140,377924.980960879591294,6443156,,
AUG_162,379025.150139762321487,6443169,,
ARL_125,377130.946587753132917,6446781,,
ARJ_148,378280.345571200072300,6446894,,
ANH_129,377266.200368472957052,6452161,,
ANI_105,376065.559730253182352,6452097,,
AKO_116,376572.714040895807557,6455690,,
AIO_117,376591.446742628817447,6458282,,
AGC_116,376502.790700019104406,6461472,,
AES_065,373925.652815287699923,6463236,,
