field_1,Agency_Code,Project,National_Station_ID,Latitude,Longitude,Deployment,Deployment_Position,Vertical_Reference,Calculated_mAHD
56,WAMSI,WWMSP3.1_CTD,OA3,-32.139635,115.665661,Profile,0.0m below Surface,m below Surface,-11.2342
57,WAMSI,WWMSP3.1_CTD,OA9S,-32.104168,115.731672,Profile,0.0m below Surface,m below Surface,-8.8147
58,WAMSI,WWMSP3.1_CTD,S4S10,-32.184894,115.757136,Profile,0.0m below Surface,m below Surface,-7.0864
59,WAMSI,WWMSP3.1_CTD,SC2,-32.298863,115.686273,Profile,0.0m below Surface,m below Surface,-8.0367
60,WAMSI,WWMSP3.1_CTD,SC,-32.254165,115.684285,Profile,0.0m below Surface,m below Surface,-7.9017
61,WAMSI,WWMSP3.1_CTD,SF11,-32.242053,115.721449,Profile,0.0m below Surface,m below Surface,-18.4572
62,WAMSI,WWMSP3.1_SEDDEP,CSSF-DL,-32.24814834,115.7114493,Floating,0.0m below Surface,m below Surface,-3.1501
63,WAMSI,WWMSP5_awac,CS2,-32.184,115.6971,Fixed,0.0m below Surface,m below Surface,-21.6163
64,WAMSI,WWMSP3.1_SEDDEP,S4S2,-32.100221,115.746097,Floating,0.0m below Surface,m below Surface,-7.738
65,WAMSI,WWMSP5_awac,CS3,-32.2522,115.729,Fixed,0.0m below Surface,m below Surface,-19.9949
66,WAMSI,WWMSP5_awac,CS1,-32.1463,115.6976,Fixed,0.0m below Surface,m below Surface,-21.3219
67,WAMSI,Regional Ocean Modelling Systems (ROMS),DWER_2km,-32.3397987,115.6833264,Profile,0m below Surface,m below Surface,-13.4312
