field_1,Agency_Code,Project,National_Station_ID,Latitude,Longitude,Deployment,Deployment_Position,Vertical_Reference,Calculated_mAHD
29,DWER,CSMWQ,"6147035",-32.200106,115.740665,Profile,m below Surface,m below Surface.,-16.6408
30,NASA,ghrsst,NearShorePolygon_10,-32.154998881,115.720920563,Satelite,0.0m below Surface,m below Surface,-19.325
31,NASA,ghrsst,NearShorePolygon_11,-32.219709609,115.706986189,Satelite,0.0m below Surface,m below Surface,-16.4801
32,NASA,ghrsst,NearShorePolygon_1,-32.187354523,115.69671935,Satelite,0.0m below Surface,m below Surface,-21.4297
33,NASA,ghrsst,NearShorePolygon_2,-32.163204378,115.693953201,Satelite,0.0m below Surface,m below Surface,-21.4771
34,NASA,ghrsst,NearShorePolygon_3,-32.149251627,115.749077371,Satelite,0.0m below Surface,m below Surface,-9.7901
35,NASA,ghrsst,NearShorePolygon_4,-32.247067743,115.742389148,Satelite,0.0m below Surface,m below Surface,-18.4875
36,NASA,ghrsst,NearShorePolygon_5,-32.257268478,115.715343263,Satelite,0.0m below Surface,m below Surface,-8.0053
37,NASA,ghrsst,NearShorePolygon_6,-32.199575066,115.757529172,Satelite,0.0m below Surface,m below Surface,-10.5075
38,NASA,ghrsst,NearShorePolygon_7,-32.174038269,115.753258895,Satelite,0.0m below Surface,m below Surface,-9.6307
39,NASA,ghrsst,NearShorePolygon_8,-32.211613242,115.734096238,Satelite,0.0m below Surface,m below Surface,-18.7723
40,NASA,ghrsst,NearShorePolygon_9,-32.180335634,115.724356568,Satelite,0.0m below Surface,m below Surface,-19.189
41,NASA,ghrsst,Point_14,-32.19,115.73,Satelite,0.0m below Surface,m below Surface,-18.7444
42,NASA,ghrsst,Point_15,-32.18,115.75,Satelite,0.0m below Surface,m below Surface,-9.4374
43,NASA,ghrsst,Point_18,-32.25,115.73,Satelite,0.0m below Surface,m below Surface,-18.6609
44,NASA,ghrsst,Point_19,-32.2,115.72,Satelite,0.0m below Surface,m below Surface,-20.6173
45,NASA,ghrsst,Point_20,-32.15,115.72,Satelite,0.0m below Surface,m below Surface,-19.5716
46,NASA,ghrsst,Point_21,-32.2,115.75,Satelite,0.0m below Surface,m below Surface,-9.4076
47,NASA,ghrsst,Point_22,-32.18,115.74,Satelite,0.0m below Surface,m below Surface,-8.8543
48,NASA,ghrsst,Point_23,-32.14,115.75,Satelite,0.0m below Surface,m below Surface,-11.4978
49,NASA,ghrsst,Point_29,-32.14,115.72,Satelite,0.0m below Surface,m below Surface,-18.9616
50,NASA,ghrsst,Point_30,-32.14,115.66,Satelite,0.0m below Surface,m below Surface,-10.3217
51,NASA,ghrsst,Point_6,-32.1,115.69,Satelite,0.0m below Surface,m below Surface,-7.3235
52,NASA,ghrsst,Point_9,-32.19,115.73,Satelite,0.0m below Surface,m below Surface,-18.7444
53,WAMSI,WWMSP2_SG-PAR,KS1,-32.174017,115.738858,Fixed,0.2m above Seabed,m above Seabed,-6.94
54,WAMSI,WWMSP2_SG-PAR,KS4,-32.199257,115.74789,Fixed,0.2m above Seabed,m above Seabed,-7.0268
55,WAMSI,WWMSP2_SG-PAR,KS5,-32.210057,115.749818,Fixed,0.2m above Seabed,m above Seabed,-6.8348
56,WAMSI,WWMSP2_SG-PAR,OA7,-32.113563,115.746347,Fixed,0.2m above Seabed,m above Seabed,-7.9504
57,WAMSI,WWMSP3.1_CTD,s1310,-32.128416,115.750778,Profile,0.0m below Surface,m below Surface,-7.1059
58,WAMSI,WWMSP2_SG-PAR,R6,-32.261487,115.73946,Fixed,0.2m above Seabed,m above Seabed,-7.8715
59,WAMSI,WWMSP3.1_CTD,AJ,-32.123967,115.757909,Profile,0.0m below Surface,m below Surface,-8.1093
60,WAMSI,WWMSP3.1_CTD,CSR14,-32.190876,115.74633,Profile,0.0m below Surface,m below Surface,-6.7462
61,WAMSI,WWMSP3.1_CTD,INLET,-32.200864,115.770445,Profile,0.0m below Surface,m below Surface,-7.5945
62,WAMSI,WWMSP3.1_CTD,JB16A,-32.173529,115.768373,Profile,0.0m below Surface,m below Surface,-8.1948
63,WAMSI,WWMSP3.1_CTD,LP,-32.226664,115.746666,Profile,0.0m below Surface,m below Surface,-16.8652
64,WAMSI,WWMSP3.1_CTD,OA1-DEP,-32.124373,115.726209,Profile,0.0m below Surface,m below Surface,-8.4827
65,WAMSI,WWMSP3.1_SEDDEP,OA1,-32.12461281,115.7240115,Floating,0.0m below Surface,m below Surface,-3.9099
66,WAMSI,WWMSP3.1_CTD,OA2S,-32.114655,115.706333,Profile,0.0m below Surface,m below Surface,-10.287
67,WAMSI,WWMSP3.1_CTD,OA3,-32.139635,115.665661,Profile,0.0m below Surface,m below Surface,-11.2342
68,WAMSI,WWMSP3.1_CTD,OA9S,-32.104168,115.731672,Profile,0.0m below Surface,m below Surface,-8.8147
69,WAMSI,WWMSP3.1_CTD,S4S10,-32.184894,115.757136,Profile,0.0m below Surface,m below Surface,-7.0864
70,WAMSI,WWMSP3.1_CTD,SC2,-32.298863,115.686273,Profile,0.0m below Surface,m below Surface,-8.0367
71,WAMSI,WWMSP3.1_CTD,SC,-32.254165,115.684285,Profile,0.0m below Surface,m below Surface,-7.9017
72,WAMSI,WWMSP3.1_CTD,SF11,-32.242053,115.721449,Profile,0.0m below Surface,m below Surface,-18.4572
73,WAMSI,WWMSP3.1_SEDDEP,CSSF-DL,-32.24814834,115.7114493,Floating,0.0m below Surface,m below Surface,-3.1501
74,WAMSI,WWMSP3.1_SEDDEP,S4S2,-32.100221,115.746097,Floating,0.0m below Surface,m below Surface,-7.738
75,WAMSI,Regional Ocean Modelling Systems (ROMS),DWER_500m,-32.34224528,115.6839709,Profile,0m below Surface,m below Surface,-10.9092
